,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
338,30.0,No,,570.0,Sales,5.0,3.0,Marketing,1.0,456.0,4.0,Female,30.0,2.0,2.0,Sales Executive,3.0,Divorced,6118.0,5431.0,1.0,Y,No,13.0,,3.0,80.0,,10.0,2.0,3.0,,,1.0,2.0
339,27.0,No,Travel_Rarely,1130.0,Sales,8.0,4.0,Marketing,,458.0,2.0,Female,56.0,,2.0,Sales Executive,2.0,Married,,3415.0,1.0,Y,No,18.0,3.0,1.0,80.0,1.0,8.0,3.0,3.0,8.0,7.0,0.0,7.0
340,37.0,No,Travel_Rarely,,Research & Development,5.0,2.0,Medical,1.0,,4.0,Male,61.0,3.0,,Manufacturing Director,4.0,Divorced,6347.0,23177.0,,Y,,16.0,3.0,,,2.0,8.0,2.0,,6.0,2.0,0.0,4.0
341,38.0,No,Travel_Rarely,343.0,Research & Development,15.0,2.0,Life Sciences,,,3.0,Male,,2.0,,,,Divorced,11510.0,,,Y,,,3.0,2.0,80.0,,12.0,3.0,3.0,,10.0,2.0,9.0
342,31.0,No,Travel_Rarely,,Research & Development,7.0,4.0,Medical,1.0,462.0,3.0,Female,39.0,3.0,3.0,Manufacturing Director,4.0,Single,7143.0,25713.0,1.0,,,14.0,3.0,3.0,,0.0,11.0,2.0,2.0,11.0,9.0,,10.0
343,29.0,No,Travel_Rarely,144.0,Sales,10.0,1.0,Marketing,1.0,463.0,4.0,Female,39.0,2.0,2.0,Sales Executive,2.0,Divorced,8268.0,,1.0,Y,Yes,14.0,3.0,1.0,80.0,2.0,7.0,2.0,3.0,7.0,7.0,1.0,7.0
344,35.0,No,Travel_Rarely,1296.0,Research & Development,5.0,4.0,Technical Degree,1.0,464.0,3.0,Male,,3.0,3.0,Manufacturing Director,,Single,,18264.0,0.0,,No,,3.0,4.0,80.0,0.0,17.0,,3.0,16.0,6.0,0.0,13.0
345,23.0,No,Travel_Rarely,,Research & Development,26.0,,Life Sciences,1.0,465.0,3.0,Male,83.0,3.0,1.0,Research Scientist,,Divorced,,,1.0,Y,No,12.0,3.0,3.0,,2.0,,2.0,2.0,4.0,2.0,0.0,
346,,No,Travel_Rarely,483.0,Research & Development,6.0,3.0,Medical,,466.0,4.0,Male,,2.0,2.0,Manufacturing Director,2.0,,6032.0,10110.0,,Y,Yes,15.0,3.0,4.0,80.0,0.0,8.0,3.0,3.0,,4.0,1.0,2.0
347,47.0,No,Travel_Frequently,1309.0,Sales,4.0,1.0,Medical,1.0,,2.0,Male,,3.0,2.0,Sales Representative,3.0,,2976.0,,3.0,Y,No,19.0,3.0,1.0,,,5.0,3.0,3.0,0.0,0.0,0.0,0.0
348,,No,Travel_Rarely,810.0,,23.0,5.0,Life Sciences,1.0,468.0,1.0,Female,44.0,3.0,4.0,,4.0,Single,15992.0,15901.0,2.0,Y,No,14.0,3.0,2.0,80.0,0.0,16.0,2.0,,1.0,0.0,0.0,0.0
349,,No,Non-Travel,746.0,Sales,2.0,3.0,Life Sciences,1.0,469.0,4.0,Male,61.0,3.0,,Sales Executive,3.0,Married,4649.0,16928.0,1.0,Y,No,14.0,3.0,1.0,80.0,1.0,4.0,3.0,2.0,,,0.0,2.0
350,42.0,No,Travel_Rarely,,Human Resources,2.0,1.0,,1.0,470.0,3.0,Male,52.0,3.0,1.0,,,Divorced,2696.0,24017.0,0.0,Y,Yes,11.0,3.0,3.0,80.0,1.0,4.0,5.0,,3.0,2.0,1.0,0.0
351,32.0,No,,1062.0,Research & Development,2.0,3.0,Medical,1.0,471.0,3.0,,75.0,3.0,1.0,Laboratory Technician,2.0,Married,2370.0,,1.0,Y,No,13.0,3.0,3.0,80.0,1.0,8.0,4.0,3.0,8.0,0.0,0.0,7.0
352,48.0,No,Travel_Rarely,,,29.0,,,1.0,473.0,1.0,Female,91.0,3.0,3.0,Manager,3.0,Married,12504.0,23978.0,3.0,Y,No,21.0,4.0,2.0,80.0,1.0,15.0,3.0,,0.0,0.0,0.0,0.0
353,37.0,No,,1319.0,Research & Development,6.0,,,1.0,,3.0,Male,51.0,4.0,2.0,Research Scientist,1.0,Divorced,5974.0,17001.0,4.0,Y,Yes,13.0,3.0,1.0,80.0,,,2.0,3.0,7.0,,6.0,7.0
354,30.0,No,,641.0,Sales,25.0,2.0,Technical Degree,1.0,,4.0,Female,85.0,3.0,,,3.0,,4736.0,6069.0,,Y,Yes,12.0,3.0,2.0,80.0,,4.0,2.0,4.0,,2.0,2.0,2.0
355,26.0,No,Travel_Rarely,933.0,Sales,1.0,3.0,,1.0,476.0,3.0,Male,57.0,3.0,2.0,,3.0,,5296.0,20156.0,1.0,Y,No,,3.0,2.0,80.0,1.0,8.0,,3.0,8.0,,7.0,7.0
356,42.0,No,Travel_Rarely,,Research & Development,2.0,4.0,Other,,477.0,1.0,Male,98.0,2.0,2.0,Healthcare Representative,4.0,,6781.0,17078.0,3.0,Y,No,23.0,,2.0,80.0,0.0,,6.0,,1.0,0.0,,0.0
357,21.0,Yes,Travel_Frequently,,Sales,1.0,1.0,Technical Degree,1.0,478.0,,Female,99.0,2.0,1.0,,2.0,Single,2174.0,9150.0,1.0,Y,Yes,,3.0,3.0,80.0,0.0,3.0,3.0,3.0,3.0,2.0,,2.0
358,36.0,No,,845.0,Sales,1.0,5.0,Medical,1.0,479.0,4.0,Female,45.0,3.0,2.0,Sales Executive,4.0,,6653.0,15276.0,4.0,Y,,15.0,3.0,2.0,80.0,0.0,7.0,6.0,3.0,,,0.0,0.0
359,36.0,No,Travel_Frequently,541.0,Sales,3.0,,Medical,1.0,,1.0,Male,48.0,2.0,3.0,Sales Executive,4.0,Married,9699.0,7246.0,,Y,No,,3.0,1.0,,1.0,16.0,,3.0,13.0,9.0,,12.0
360,57.0,No,Travel_Rarely,593.0,,1.0,4.0,,,482.0,,,88.0,3.0,2.0,Healthcare Representative,,Married,,2967.0,2.0,Y,No,,3.0,3.0,80.0,0.0,15.0,2.0,3.0,3.0,2.0,1.0,2.0
361,40.0,No,Travel_Rarely,1171.0,Research & Development,10.0,4.0,Life Sciences,,483.0,4.0,Female,46.0,4.0,1.0,Laboratory Technician,3.0,,2213.0,22495.0,3.0,Y,Yes,13.0,3.0,3.0,80.0,,10.0,3.0,3.0,7.0,7.0,1.0,7.0
362,,No,Non-Travel,895.0,,9.0,2.0,,1.0,,1.0,Male,39.0,,,Sales Representative,,Single,,2851.0,1.0,,No,24.0,4.0,3.0,80.0,0.0,3.0,3.0,,3.0,2.0,2.0,2.0
363,33.0,Yes,Travel_Rarely,350.0,,5.0,3.0,,1.0,,4.0,Female,34.0,3.0,,Sales Representative,3.0,Single,2851.0,9150.0,1.0,,Yes,,3.0,2.0,80.0,0.0,1.0,2.0,3.0,,,0.0,0.0
364,37.0,No,Travel_Rarely,921.0,,10.0,3.0,Medical,,,3.0,Female,98.0,3.0,1.0,,1.0,Married,,17663.0,6.0,Y,No,20.0,,2.0,,1.0,,3.0,3.0,5.0,4.0,0.0,
365,46.0,No,Non-Travel,1144.0,Research & Development,7.0,4.0,Medical,1.0,,3.0,Female,,3.0,2.0,Manufacturing Director,3.0,Married,5258.0,16044.0,2.0,Y,No,14.0,,,80.0,0.0,7.0,2.0,4.0,1.0,0.0,0.0,0.0
366,41.0,Yes,Travel_Frequently,143.0,,4.0,3.0,,1.0,488.0,1.0,,,3.0,2.0,Sales Executive,,,,,1.0,,No,18.0,3.0,,,0.0,8.0,5.0,3.0,8.0,7.0,7.0,7.0
367,50.0,No,Travel_Rarely,1046.0,Research & Development,10.0,3.0,,1.0,491.0,4.0,Male,100.0,2.0,3.0,Healthcare Representative,4.0,,10496.0,2755.0,,Y,No,15.0,3.0,4.0,80.0,0.0,20.0,2.0,3.0,4.0,3.0,1.0,3.0
368,40.0,Yes,Travel_Rarely,,Sales,22.0,2.0,Marketing,1.0,492.0,,Male,68.0,2.0,2.0,,3.0,Married,6380.0,6110.0,2.0,Y,Yes,12.0,3.0,1.0,80.0,,,,3.0,6.0,4.0,1.0,0.0
369,31.0,No,Travel_Rarely,408.0,,9.0,4.0,Life Sciences,1.0,493.0,3.0,,42.0,2.0,1.0,Research Scientist,2.0,Single,2657.0,,0.0,Y,Yes,16.0,3.0,,80.0,0.0,3.0,5.0,3.0,2.0,2.0,,2.0
370,21.0,Yes,Travel_Rarely,156.0,Sales,12.0,3.0,Life Sciences,1.0,494.0,,Female,90.0,4.0,1.0,Sales Representative,2.0,Single,2716.0,,1.0,Y,No,15.0,3.0,4.0,80.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0
371,29.0,No,Travel_Rarely,1283.0,,,,Life Sciences,1.0,495.0,4.0,Male,54.0,3.0,,Research Scientist,4.0,Single,,18168.0,9.0,,,16.0,3.0,4.0,80.0,0.0,6.0,4.0,,3.0,2.0,1.0,2.0
372,35.0,No,Travel_Rarely,755.0,Research & Development,9.0,4.0,Life Sciences,1.0,496.0,3.0,,97.0,2.0,,Healthcare Representative,2.0,,,19394.0,9.0,,No,,3.0,3.0,80.0,0.0,10.0,5.0,,,1.0,0.0,
373,27.0,No,Travel_Rarely,1469.0,Research & Development,1.0,2.0,,1.0,497.0,4.0,,,3.0,1.0,Laboratory Technician,2.0,Divorced,3816.0,17881.0,1.0,Y,,11.0,3.0,,,,5.0,2.0,3.0,5.0,,,4.0
374,28.0,No,,304.0,Sales,9.0,,Life Sciences,1.0,498.0,2.0,Male,92.0,3.0,2.0,Sales Executive,4.0,Single,5253.0,,1.0,Y,No,16.0,3.0,4.0,80.0,0.0,7.0,1.0,,7.0,5.0,0.0,7.0
375,,No,Travel_Rarely,1261.0,,7.0,3.0,Other,1.0,,,,,2.0,3.0,Healthcare Representative,3.0,Single,,12066.0,,Y,,,4.0,3.0,80.0,0.0,26.0,2.0,3.0,5.0,2.0,0.0,0.0
376,51.0,No,Travel_Rarely,1178.0,Sales,,2.0,Life Sciences,,,3.0,Female,87.0,3.0,2.0,Sales Executive,4.0,Married,,14862.0,,,No,,3.0,3.0,,1.0,,2.0,2.0,7.0,7.0,,
377,,No,,,Research & Development,2.0,3.0,,1.0,501.0,4.0,Female,96.0,3.0,1.0,Research Scientist,3.0,Married,2543.0,,4.0,Y,No,13.0,3.0,,80.0,1.0,6.0,3.0,,2.0,2.0,2.0,2.0
378,,Yes,Non-Travel,1362.0,Sales,19.0,3.0,Marketing,,,1.0,,67.0,4.0,2.0,,4.0,,,4652.0,,Y,Yes,13.0,,2.0,80.0,0.0,,3.0,2.0,5.0,,0.0,4.0
379,55.0,No,Travel_Rarely,1311.0,Research & Development,2.0,3.0,Life Sciences,1.0,505.0,3.0,Female,,3.0,4.0,Manager,4.0,Single,16659.0,23258.0,,,Yes,13.0,3.0,3.0,80.0,0.0,,2.0,3.0,,4.0,1.0,2.0
380,24.0,No,Travel_Rarely,1371.0,,,4.0,Marketing,,507.0,4.0,Female,77.0,3.0,,Sales Executive,3.0,Divorced,4260.0,5915.0,1.0,,Yes,12.0,3.0,4.0,,,5.0,,4.0,5.0,2.0,,3.0
381,,No,Travel_Rarely,202.0,Sales,2.0,1.0,Technical Degree,1.0,508.0,3.0,,72.0,3.0,,Sales Representative,,Married,2476.0,,1.0,Y,No,18.0,3.0,1.0,80.0,1.0,1.0,3.0,3.0,,0.0,0.0,0.0
382,26.0,Yes,Travel_Frequently,575.0,Research & Development,3.0,1.0,,1.0,510.0,3.0,Male,,3.0,1.0,Research Scientist,,Single,3102.0,6582.0,0.0,Y,No,22.0,4.0,3.0,80.0,0.0,7.0,2.0,3.0,,,,4.0
383,22.0,No,Travel_Rarely,253.0,Research & Development,11.0,3.0,Medical,1.0,511.0,1.0,Female,43.0,3.0,1.0,Research Scientist,2.0,Married,2244.0,24440.0,1.0,,,,,4.0,80.0,1.0,2.0,1.0,3.0,2.0,1.0,,2.0
384,36.0,No,Travel_Rarely,164.0,Sales,2.0,2.0,Medical,1.0,513.0,,,61.0,,3.0,,3.0,Married,7596.0,,,,No,13.0,3.0,2.0,80.0,2.0,10.0,2.0,,,9.0,9.0,0.0
385,30.0,Yes,Travel_Frequently,464.0,Research & Development,4.0,3.0,Technical Degree,1.0,514.0,3.0,Male,,3.0,1.0,,4.0,,2285.0,,9.0,,Yes,23.0,4.0,3.0,,0.0,3.0,4.0,3.0,,,0.0,0.0
386,37.0,No,Travel_Rarely,1107.0,Research & Development,14.0,3.0,Life Sciences,1.0,515.0,4.0,Female,95.0,3.0,1.0,Laboratory Technician,1.0,Divorced,3034.0,26914.0,1.0,Y,,12.0,3.0,3.0,80.0,1.0,18.0,2.0,2.0,18.0,,12.0,17.0
387,40.0,No,Travel_Rarely,759.0,Sales,,,Marketing,1.0,516.0,4.0,Female,,3.0,2.0,Sales Executive,2.0,,,22553.0,7.0,Y,No,12.0,3.0,3.0,80.0,2.0,8.0,5.0,,5.0,4.0,,3.0
388,42.0,No,Travel_Rarely,201.0,Research & Development,,4.0,,,517.0,2.0,,,3.0,1.0,Laboratory Technician,,Divorced,2576.0,20490.0,,Y,No,,3.0,,,1.0,8.0,5.0,3.0,5.0,2.0,1.0,
389,,No,Travel_Rarely,1305.0,,10.0,4.0,,1.0,518.0,3.0,Male,,3.0,2.0,,,Single,4197.0,21123.0,,Y,Yes,12.0,3.0,4.0,80.0,0.0,18.0,2.0,2.0,,0.0,,1.0
390,43.0,No,Travel_Rarely,982.0,Research & Development,12.0,3.0,Life Sciences,1.0,,1.0,Male,59.0,,4.0,Research Director,2.0,,,4345.0,1.0,Y,,11.0,3.0,3.0,80.0,1.0,25.0,3.0,,25.0,10.0,3.0,9.0
391,40.0,No,Travel_Rarely,555.0,Research & Development,2.0,3.0,Medical,1.0,521.0,,Female,,2.0,2.0,,,Married,3448.0,13436.0,6.0,,No,22.0,4.0,,80.0,1.0,20.0,,3.0,1.0,0.0,0.0,
392,54.0,No,Travel_Rarely,821.0,Research & Development,5.0,2.0,Medical,1.0,522.0,1.0,Male,86.0,3.0,,Research Director,1.0,Married,19406.0,8509.0,4.0,Y,No,11.0,3.0,,80.0,1.0,24.0,,2.0,4.0,2.0,1.0,2.0
393,34.0,No,Non-Travel,1381.0,Sales,4.0,4.0,,1.0,,3.0,Female,72.0,3.0,2.0,Sales Executive,,Married,6538.0,12740.0,9.0,Y,,15.0,,1.0,80.0,1.0,6.0,3.0,3.0,3.0,2.0,1.0,2.0
394,31.0,No,Travel_Rarely,480.0,Research & Development,7.0,,Medical,1.0,,2.0,Female,31.0,3.0,,Manufacturing Director,1.0,Married,4306.0,4156.0,1.0,Y,No,,3.0,,80.0,1.0,13.0,,,13.0,10.0,3.0,12.0
395,43.0,No,Travel_Frequently,313.0,,21.0,3.0,,1.0,525.0,,Male,61.0,,1.0,,,Married,2258.0,15238.0,7.0,Y,No,20.0,4.0,1.0,80.0,1.0,8.0,,3.0,3.0,2.0,1.0,2.0
396,43.0,No,,1473.0,Research & Development,8.0,4.0,Other,1.0,526.0,,Female,74.0,3.0,2.0,Healthcare Representative,3.0,,,2227.0,4.0,Y,Yes,,3.0,4.0,80.0,0.0,8.0,,3.0,5.0,2.0,0.0,2.0
397,25.0,No,Travel_Rarely,891.0,Sales,4.0,2.0,Life Sciences,1.0,527.0,,,99.0,2.0,2.0,Sales Executive,4.0,Single,4487.0,12090.0,1.0,Y,Yes,11.0,3.0,,,0.0,,,,5.0,4.0,1.0,3.0
398,,No,,1063.0,Research & Development,25.0,5.0,Medical,,529.0,2.0,Female,72.0,,2.0,Research Scientist,3.0,Married,,23866.0,,,Yes,15.0,3.0,,80.0,2.0,15.0,,,,11.0,,7.0
399,31.0,No,Travel_Rarely,329.0,Research & Development,1.0,2.0,Life Sciences,1.0,,4.0,,98.0,2.0,1.0,Laboratory Technician,1.0,,,16193.0,,Y,No,12.0,3.0,3.0,80.0,1.0,,3.0,3.0,4.0,2.0,,2.0
400,39.0,No,,1218.0,Research & Development,1.0,1.0,Life Sciences,,531.0,2.0,Male,,3.0,5.0,Manager,3.0,Divorced,19197.0,8213.0,1.0,Y,Yes,,3.0,,80.0,1.0,21.0,3.0,3.0,21.0,8.0,1.0,6.0
401,,No,Travel_Frequently,,Sales,6.0,3.0,Life Sciences,,,3.0,Female,86.0,,,Sales Executive,1.0,,13212.0,18256.0,9.0,,No,,3.0,4.0,,,,0.0,,,7.0,7.0,
402,30.0,No,,,Sales,12.0,3.0,Technical Degree,1.0,533.0,2.0,,83.0,,2.0,Sales Executive,3.0,Single,6577.0,19558.0,0.0,Y,No,11.0,3.0,2.0,80.0,0.0,,6.0,3.0,5.0,,4.0,
403,,No,Travel_Rarely,,Sales,1.0,3.0,Marketing,1.0,,2.0,Male,49.0,4.0,3.0,Sales Executive,1.0,Married,8392.0,19566.0,1.0,Y,No,16.0,3.0,3.0,80.0,,10.0,2.0,3.0,10.0,7.0,0.0,
404,28.0,No,Travel_Rarely,,,17.0,2.0,Medical,1.0,536.0,3.0,Male,79.0,3.0,2.0,,1.0,Divorced,,13535.0,1.0,,No,12.0,3.0,4.0,80.0,1.0,,,3.0,10.0,,1.0,8.0
405,25.0,Yes,Travel_Rarely,,,3.0,3.0,Medical,,538.0,,Male,,,1.0,Laboratory Technician,1.0,Married,4031.0,9396.0,5.0,Y,No,13.0,3.0,3.0,80.0,,6.0,5.0,3.0,2.0,2.0,0.0,2.0
406,,No,Travel_Rarely,,Research & Development,3.0,3.0,Medical,1.0,543.0,4.0,Male,39.0,2.0,,Manufacturing Director,3.0,Married,,19609.0,,Y,Yes,,,3.0,80.0,0.0,28.0,4.0,3.0,5.0,4.0,0.0,
407,45.0,No,Travel_Rarely,192.0,Research & Development,10.0,2.0,Life Sciences,1.0,544.0,1.0,Male,69.0,,1.0,Research Scientist,4.0,Married,,9655.0,3.0,,No,21.0,4.0,,80.0,,8.0,3.0,2.0,2.0,2.0,,2.0
408,52.0,No,Travel_Rarely,1490.0,Research & Development,4.0,2.0,Life Sciences,1.0,546.0,4.0,Female,,,4.0,Manager,4.0,Married,16555.0,10310.0,,Y,No,,3.0,4.0,80.0,0.0,31.0,2.0,,5.0,2.0,1.0,4.0
409,42.0,No,Travel_Frequently,532.0,Research & Development,29.0,2.0,,1.0,,,Female,92.0,3.0,2.0,Research Scientist,3.0,Divorced,,12932.0,,,No,,3.0,,80.0,1.0,,3.0,3.0,5.0,,0.0,2.0
410,30.0,No,Travel_Rarely,317.0,Research & Development,2.0,3.0,Life Sciences,1.0,548.0,3.0,,43.0,,,Manufacturing Director,,Single,6091.0,24793.0,2.0,Y,No,20.0,4.0,3.0,,0.0,11.0,2.0,3.0,5.0,4.0,0.0,2.0
411,60.0,No,Travel_Rarely,422.0,Research & Development,7.0,,Life Sciences,1.0,549.0,1.0,Female,41.0,,5.0,Manager,1.0,Married,,,5.0,Y,No,11.0,3.0,4.0,80.0,0.0,33.0,5.0,,29.0,,11.0,10.0
412,46.0,No,Travel_Rarely,,Research & Development,18.0,,Medical,1.0,,,Female,87.0,3.0,2.0,Manufacturing Director,3.0,Divorced,4810.0,26314.0,,Y,No,14.0,3.0,3.0,80.0,1.0,19.0,5.0,2.0,10.0,7.0,0.0,8.0
413,,No,Travel_Frequently,1368.0,Research & Development,,,Technical Degree,1.0,551.0,4.0,Female,,2.0,2.0,Healthcare Representative,4.0,Married,4523.0,4386.0,0.0,Y,No,11.0,,4.0,80.0,,,4.0,4.0,6.0,5.0,0.0,4.0
414,24.0,Yes,Travel_Rarely,1448.0,Sales,1.0,1.0,Technical Degree,1.0,554.0,1.0,Female,,3.0,1.0,Sales Representative,2.0,Single,3202.0,21972.0,,Y,,,3.0,2.0,80.0,0.0,6.0,,3.0,5.0,3.0,1.0,4.0
415,34.0,Yes,,296.0,Sales,6.0,2.0,Marketing,1.0,555.0,4.0,Female,33.0,1.0,,Sales Representative,3.0,Divorced,2351.0,12253.0,0.0,,No,16.0,3.0,,80.0,1.0,3.0,3.0,2.0,,2.0,1.0,0.0
416,38.0,No,,1490.0,Research & Development,2.0,,Life Sciences,1.0,556.0,4.0,,42.0,3.0,1.0,Laboratory Technician,4.0,,1702.0,12106.0,1.0,Y,,23.0,4.0,,80.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0
417,40.0,No,Travel_Rarely,1398.0,Sales,2.0,,Life Sciences,,558.0,3.0,Female,,3.0,5.0,,3.0,Married,18041.0,13022.0,0.0,,No,14.0,3.0,,80.0,0.0,21.0,2.0,,20.0,15.0,1.0,12.0
418,,No,Travel_Rarely,1349.0,Research & Development,,3.0,Life Sciences,1.0,560.0,1.0,Female,90.0,3.0,1.0,Research Scientist,4.0,Divorced,2886.0,3032.0,,Y,No,22.0,4.0,2.0,80.0,,,3.0,1.0,3.0,2.0,0.0,2.0
419,30.0,No,Non-Travel,1400.0,Research & Development,3.0,3.0,,1.0,562.0,3.0,,,3.0,1.0,Laboratory Technician,4.0,Married,2097.0,16734.0,4.0,Y,No,,3.0,3.0,80.0,1.0,,,1.0,5.0,3.0,1.0,4.0
420,,No,Travel_Rarely,,,,4.0,Medical,1.0,564.0,2.0,Male,93.0,2.0,3.0,,3.0,Married,11935.0,21526.0,,Y,No,,,,,,10.0,2.0,3.0,10.0,2.0,0.0,7.0
421,,Yes,Travel_Rarely,408.0,,25.0,5.0,Technical Degree,,,3.0,Female,71.0,2.0,1.0,,2.0,,2546.0,18300.0,5.0,Y,No,16.0,3.0,2.0,80.0,0.0,6.0,2.0,4.0,2.0,2.0,,1.0
422,19.0,Yes,Travel_Rarely,489.0,Human Resources,,2.0,,,566.0,1.0,Male,52.0,2.0,1.0,Human Resources,4.0,Single,2564.0,,1.0,Y,No,12.0,3.0,,80.0,,1.0,3.0,4.0,1.0,0.0,,0.0
423,30.0,No,Non-Travel,1398.0,,,4.0,Other,1.0,567.0,3.0,Female,69.0,3.0,3.0,Sales Executive,,Married,8412.0,2890.0,0.0,,No,11.0,3.0,3.0,80.0,,10.0,,3.0,,8.0,,8.0
424,57.0,No,,,,29.0,3.0,Marketing,1.0,568.0,1.0,Male,56.0,2.0,4.0,,4.0,Divorced,14118.0,22102.0,3.0,Y,No,12.0,3.0,3.0,80.0,1.0,32.0,3.0,2.0,1.0,0.0,0.0,0.0
425,50.0,No,,,Research & Development,29.0,4.0,Life Sciences,1.0,569.0,2.0,Male,,2.0,4.0,Manager,3.0,Married,,9314.0,0.0,Y,No,15.0,3.0,2.0,80.0,,28.0,2.0,3.0,27.0,10.0,15.0,7.0
426,30.0,No,Non-Travel,1116.0,,,3.0,Medical,1.0,,3.0,,49.0,3.0,1.0,Laboratory Technician,4.0,Single,2564.0,7181.0,,Y,No,14.0,3.0,3.0,80.0,0.0,12.0,2.0,2.0,11.0,7.0,6.0,
427,60.0,No,Travel_Frequently,1499.0,,28.0,3.0,,1.0,573.0,3.0,,80.0,2.0,3.0,Sales Executive,1.0,Married,10266.0,2845.0,4.0,Y,No,,3.0,4.0,80.0,,,5.0,4.0,18.0,13.0,,11.0
428,47.0,No,Travel_Rarely,,Research & Development,,2.0,Medical,1.0,,,Female,65.0,3.0,,Manufacturing Director,4.0,Divorced,5070.0,7389.0,5.0,Y,No,13.0,3.0,3.0,,,20.0,2.0,3.0,5.0,0.0,,4.0
429,46.0,No,Travel_Rarely,1009.0,Research & Development,2.0,,Life Sciences,1.0,575.0,1.0,Male,51.0,3.0,4.0,Research Director,,Married,17861.0,2288.0,6.0,Y,,13.0,3.0,3.0,80.0,0.0,26.0,,1.0,3.0,2.0,0.0,1.0
430,35.0,No,Travel_Rarely,144.0,Research & Development,22.0,,Life Sciences,1.0,577.0,4.0,Male,46.0,1.0,1.0,,,Single,,19225.0,0.0,Y,No,15.0,3.0,,80.0,0.0,6.0,2.0,3.0,5.0,,,3.0
431,54.0,No,,548.0,,8.0,4.0,Life Sciences,1.0,578.0,3.0,Female,,3.0,,Laboratory Technician,,Single,3780.0,23428.0,7.0,Y,No,11.0,3.0,3.0,80.0,0.0,,,3.0,1.0,0.0,0.0,
432,34.0,No,,,Research & Development,2.0,4.0,Life Sciences,,579.0,4.0,Male,62.0,2.0,1.0,Research Scientist,3.0,Divorced,2768.0,,3.0,Y,No,12.0,3.0,3.0,80.0,1.0,,3.0,,7.0,3.0,5.0,7.0
433,46.0,No,Travel_Rarely,1125.0,Sales,,,Marketing,1.0,580.0,,Female,94.0,,3.0,Sales Executive,4.0,,,11563.0,,Y,,19.0,3.0,3.0,80.0,1.0,15.0,3.0,3.0,,2.0,,2.0
434,31.0,No,Travel_Rarely,1274.0,Research & Development,,1.0,,1.0,581.0,3.0,Male,33.0,3.0,3.0,Manufacturing Director,2.0,Divorced,10648.0,14394.0,1.0,,No,,4.0,4.0,,1.0,,,4.0,13.0,8.0,0.0,8.0
435,33.0,Yes,,1277.0,Research & Development,15.0,1.0,Medical,1.0,582.0,2.0,Male,56.0,3.0,3.0,Manager,,Married,13610.0,24619.0,7.0,Y,,12.0,,,80.0,0.0,15.0,2.0,4.0,7.0,6.0,7.0,7.0
436,33.0,Yes,Travel_Rarely,587.0,Research & Development,10.0,1.0,Medical,1.0,584.0,1.0,Male,38.0,,,Laboratory Technician,4.0,,3408.0,,7.0,Y,,13.0,3.0,1.0,,3.0,8.0,2.0,,4.0,3.0,1.0,
437,30.0,No,Travel_Rarely,413.0,Sales,7.0,1.0,,,585.0,4.0,,57.0,3.0,1.0,Sales Representative,2.0,Single,2983.0,18398.0,0.0,,,14.0,3.0,1.0,80.0,,4.0,3.0,3.0,3.0,2.0,,2.0
438,,No,Travel_Rarely,1276.0,,16.0,,,1.0,586.0,4.0,Male,72.0,3.0,3.0,Healthcare Representative,3.0,Married,,,4.0,Y,,,3.0,3.0,80.0,0.0,10.0,2.0,,,,0.0,0.0
439,31.0,Yes,Travel_Frequently,534.0,,,3.0,,,587.0,,Male,66.0,3.0,3.0,Healthcare Representative,3.0,,9824.0,22908.0,3.0,Y,No,12.0,3.0,1.0,80.0,0.0,12.0,2.0,3.0,1.0,0.0,0.0,0.0
440,34.0,Yes,Travel_Frequently,988.0,Human Resources,23.0,3.0,,,590.0,2.0,,43.0,3.0,3.0,Human Resources,1.0,,9950.0,,9.0,,Yes,15.0,3.0,,80.0,3.0,,2.0,3.0,3.0,2.0,0.0,
441,42.0,No,Travel_Frequently,1474.0,Research & Development,5.0,2.0,,1.0,591.0,2.0,,97.0,3.0,,Laboratory Technician,3.0,Married,2093.0,9260.0,4.0,Y,No,17.0,3.0,4.0,80.0,1.0,,4.0,3.0,2.0,,2.0,0.0
442,36.0,No,Non-Travel,635.0,,10.0,4.0,Medical,,592.0,2.0,Male,32.0,3.0,3.0,Sales Executive,4.0,Single,9980.0,15318.0,,Y,,14.0,3.0,,80.0,0.0,10.0,3.0,2.0,10.0,,,7.0
443,22.0,Yes,Travel_Frequently,1368.0,,,,Technical Degree,1.0,,,Male,99.0,2.0,1.0,Laboratory Technician,3.0,,,9129.0,5.0,Y,,16.0,3.0,3.0,80.0,0.0,4.0,3.0,3.0,2.0,2.0,1.0,2.0
444,,No,Travel_Rarely,163.0,,,,Marketing,,595.0,2.0,Female,37.0,,2.0,Sales Executive,4.0,Married,,,2.0,Y,No,14.0,3.0,1.0,80.0,1.0,14.0,2.0,3.0,9.0,7.0,6.0,7.0
